Total Characters in the password: 1 = 0
Total Characters in the password: 2 = 0
Total Characters in the password: 3 = 3
Total Characters in the password: 4 = 810
Total Characters in the password: 5 = 903
Total Characters in the password: 6 = 3176
Total Characters in the password: 7 = 1771
Total Characters in the password: 8 = 2972
Total Characters in the password: 9 = 219
Total Characters in the password: 10 = 94
Total Characters in the password: 11 = 28
Total Characters in the password: 12 = 21
Total Characters in the password: 13 = 1
Total Characters in the password: 14 = 0
Total Characters in the password: 15 = 1
Total Characters in the password: 16 = 1
Total Characters in the password: 17 = 0
Total Characters in the password: 18 = 0
Total Characters in the password: 19 = 0
Total Characters in the password: 20 = 0
